# Please review http://www.world-strain-map.org/model/rotated_geodetic.html before using!
#
   70.250  42.280   96.834   19.079  2.969  1.739 -0.017   Pacific       
   69.820  42.040   90.545   19.119  2.759  1.682  0.022   Pacific       
  -52.810   5.250   60.580   21.531  2.599  0.803  0.000   Pacific       
  -38.430  -3.880   64.487   29.588  1.599  0.701  0.000   Pacific       
  -57.930 -34.910   72.295   17.525  2.102  1.599  0.000   Pacific       
 -109.380 -27.150  137.355  -29.507  1.000  1.102  0.000   Pacific       
  -78.840 -33.450  139.244   16.290  1.899  1.803  0.000   Pacific       
  -80.090 -26.140  133.507   12.244  2.497  2.198  0.000   Pacific       
 -106.470  23.330   42.039  -26.943  1.000  1.000  0.000   Pacific       
 -109.860  22.920   -0.124   -2.913  3.071  1.453  0.000   Pacific       
 -111.810  26.620    2.712   -4.718  3.192  1.542  0.000   Pacific       
 -109.090  25.690   41.179  -29.850  3.670  1.758  0.000   Pacific       
   15.490  47.070   68.940   41.878  2.000  2.000  0.000   Pacific       
   13.850  44.870   69.000   46.912  2.000  2.000  0.000   Pacific       
   13.640  45.500   63.416   43.806  2.000  2.000  0.000   Pacific       
   14.680  45.010   68.454   44.647  2.000  2.000  0.000   Pacific       
   15.230  44.120   67.546   47.998  2.000  2.000  0.000   Pacific       
   16.200  43.030   69.926   50.749  2.000  2.000  0.000   Pacific       
   16.250  42.390   71.584   52.025  2.000  2.000  0.000   Pacific       
   14.770  45.310   70.624   48.805  2.000  2.000  0.000   Pacific       
   16.590  43.600   68.918   49.069  2.000  2.000  0.000   Pacific       
   16.900  43.140   70.717   50.616  2.000  2.000  0.000   Pacific       
   15.060  44.970   67.375   47.776  2.000  2.000  0.000   Pacific       
   18.060  42.660   70.827   48.559  2.000  2.000  0.000   Pacific       
   14.220  45.310   66.634   45.151  2.000  2.000  0.000   Pacific       
   16.440  43.510   71.892   48.534  2.000  2.000  0.000   Pacific       
   13.630  45.080   65.963   45.708  2.000  2.000  0.000   Pacific       
   16.860  42.750   71.098   49.240  2.000  2.000  0.000   Pacific       
   17.180  43.610   68.505   44.787  2.000  2.000  0.000   Pacific       
   17.460  42.870   72.730   48.354  2.000  2.000  0.000   Pacific       
   14.110  46.170   67.056   46.097  2.000  2.000  0.000   Pacific       
   13.720  45.550   64.028   49.868  2.000  2.000  0.000   Pacific       
 -166.530  53.890   40.119  -56.730  0.599  1.198  0.000   Pacific       
  173.170  52.800   34.807  -40.788  1.198  1.198  0.000   Pacific       
 -176.710  51.870   45.835  -48.931  1.198  1.497  0.000   Pacific       
  174.100  52.720   39.454  -43.583  1.497  1.803  0.000   Pacific       
