time,latitude,longitude,lon360,depth,depth_km,mag,horizontalError,depthError,magError
2025-08-19T22:32:53.425Z,-24.7674,179.9098,179.9098,525.928,-525.928,4.3,14.29,9.54,0.086
2025-07-13T10:48:39.434Z,-23.8061,179.0328,179.0328,544.666,-544.666,4.4,14.88,9.05,0.086
2025-01-28T11:01:39.654Z,-17.7871,-178.6539,181.3461,548.807,-548.807,4.4,9.54,8.911,0.086
2024-12-30T23:40:33.868Z,-17.6089,-178.3937,181.6063,573.817,-573.817,4.6,14.54,8.251,0.087
2025-01-20T09:05:00.873Z,-18.0158,-178.0283,181.9717,578.445,-578.445,4.4,12.72,8.239,0.086
2025-03-30T23:54:19.967Z,-21.167,-178.6837,181.3163,583.497,-583.497,4.3,15.93,8.239,0.085
2025-06-06T12:37:10.367Z,-24.2027,-179.7977,180.2023,508.257,-508.257,4.5,13.07,7.89,0.087
2024-10-30T15:12:58.707Z,-20.6697,-178.4459,181.5541,569.847,-569.847,4.1,13.58,7.759,0.084
2025-10-16T23:07:17.460Z,-23.3297,178.8291,178.8291,553.818,-553.818,5.1,15.36,7.2,0.098
2025-04-07T15:02:21.940Z,-23.8914,179.1315,179.1315,545.073,-545.073,4.5,8.78,7.185,0.087
2025-06-17T04:37:06.395Z,-19.2739,-177.5505,182.4495,559.03,-559.03,4.3,13.24,6.758,0.085
2025-07-12T16:00:24.604Z,-17.5047,-178.7743,181.2257,544.388,-544.388,4.5,13.31,5.185,0.091
2025-04-04T08:01:06.751Z,-15.6272,-174.4737,185.5263,201,-201,5.6,10.12,1.944,0.05
2024-10-12T15:44:16.822Z,-25.252,178.5344,178.5344,581.27,-581.27,4.5,14.96,12.678,0.089
2025-07-04T11:22:32.577Z,-20.0073,-177.8381,182.1619,576.483,-576.483,4.1,15.98,12.148,0.085
2025-03-18T17:48:39.683Z,-17.9014,-178.5515,181.4485,586.409,-586.409,4.4,14.99,9.592,0.088
2025-02-15T17:26:30.292Z,-20.1349,-177.7085,182.2915,513.837,-513.837,4.2,16.08,8.633,0.09
2025-02-22T12:43:56.783Z,-19.7745,-175.6223,184.3777,195.655,-195.655,4.5,15.03,8.124,0.088
2025-06-08T18:49:05.286Z,-18.9305,169.4597,169.4597,260.054,-260.054,4.4,9.02,8.048,0.087
2025-09-26T09:44:31.738Z,-15.1314,-174.3373,185.6627,133.876,-133.876,4.4,13.01,7.812,0.087
2025-07-17T22:09:15.196Z,-15.1561,-173.9983,186.0017,60.94,-60.94,4.4,12.21,7.716,0.09
2025-08-11T12:14:17.995Z,-18.1893,168.064,168.064,45.78,-45.78,4.7,8.65,7.565,0.089
2025-03-25T13:34:35.088Z,-19.0113,169.3953,169.3953,267.858,-267.858,4.3,7.8,6.971,0.087
2024-11-20T10:42:56.316Z,-20.7318,-176.3434,183.6566,212.565,-212.565,5.5,11.8,6.695,0.05
2025-10-22T04:07:16.054Z,-29.1133,-178.5798,181.4202,240.851,-240.851,4.9,13.52,6.625,0.091
2025-03-19T23:38:33.049Z,-19.5417,-175.1973,184.8027,137.109,-137.109,4.7,11.22,6.622,0.089
2025-10-25T10:41:36.302Z,-13.1848,167.1172,167.1172,239.261,-239.261,4.4,11.17,6.171,0.087
2025-05-19T20:34:36.798Z,-23.9298,-179.5432,180.4568,420.002,-420.002,4.4,14.9,5.832,0.087
2025-06-06T19:28:30.995Z,-22.0335,-178.0449,181.9551,359,-359,5.9,7.98,1.871,0.05
2025-02-10T00:09:42.753Z,-17.5011,167.8757,167.8757,18,-18,5.9,6.44,1.733,0.05
2025-04-01T14:02:49.423Z,-25.3641,178.2852,178.2852,605.616,-605.616,4.5,15.16,13.664,0.093
2024-12-14T13:19:50.079Z,-23.6825,-179.836,180.164,512.778,-512.778,4.4,14.48,12.561,0.088
2025-10-17T05:33:42.652Z,-25.6184,179.5508,179.5508,523.711,-523.711,4.2,14.84,10.838,0.087
2025-05-09T18:04:03.955Z,-18.3571,-177.8011,182.1989,636.988,-636.988,4.4,11.28,10.139,0.088
2025-07-01T05:13:03.347Z,-23.692,179.5203,179.5203,596.912,-596.912,4.4,15.15,9.322,0.088
2025-06-13T12:07:16.028Z,-18.0416,-178.2107,181.7893,599.181,-599.181,4.2,14.2,9.276,0.086
2025-10-05T14:04:25.133Z,-25.1872,-179.0818,180.9182,391.864,-391.864,4.4,14.97,8.453,0.088
2024-11-28T23:26:45.239Z,-19.6662,169.1273,169.1273,121.818,-121.818,4.6,9.53,7.92,0.092
2025-01-21T23:34:45.097Z,-17.7604,-178.6341,181.3659,535.905,-535.905,4.6,13.53,7.906,0.092
2025-06-24T22:12:42.923Z,-23.9576,-179.6961,180.3039,487.707,-487.707,4.7,11.71,7.862,0.09
